step,ee_x,ee_y,ee_z,hand_x,hand_y,hand_z,hand_dist_surface,g1_body_dist,gate,gate_trigger,stage,parts_placed,replan_count,replan_strategy,replan_raise_m,replan_lateral_m,grasp_rewinds,carry_aborted,min_part_z,parts_below_table,deadlock_tier,vhand_retreated,vhand_block_active,sphere_x,sphere_y,sphere_z,protocol_phase,protocol_part,disturbance_source,disturbance_scenario,disturbance_attempt_id,gate_trigger_source,replan_trigger_source,replan_trigger_step,replan_event_id,replan_applied_step,closest_g1_body,dist_min_g1_body,dist_min_proxy,warn_threshold_active,dist_min_for_gating,dist_min_envelope,dist_min_held,safe_dist_hard_stop_active,safe_dist_warn_active,proxy_center_x,proxy_center_y,proxy_center_z,proxy_surface_x,proxy_surface_y,proxy_surface_z,attractor_x,attractor_y,attractor_z,g1_head_x,g1_head_y,g1_head_z,reach_clamped,slow_streak_length,reach_radius_active,proxy_radius_active,head_to_attractor_distance,reach_margin,g1_root_x,g1_root_y,g1_root_z,g1_tilt_rad,g1_spawn_requested_x,g1_spawn_requested_y,g1_spawn_requested_yaw,spawn_pose_error
0,0.6914,0.1742,0.6968,-1.4151,0.0510,-0.1548,2.1455,2.1455,ALLOW,allow,start,0,0,,0.0000,0.0000,0,0,0.1694,0,0,0,0,0.0000,0.0000,0.0000,none,0,g1_body,baseline_safe,0,,,,,,left_wrist_pitch_link,2.1455,inf,0.1000,2.1455,2.1455,,0.0650,0.1000,0.0000,0.0000,0.0000,-1.4151,0.0510,-0.1548,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0.0000,0.0000,0.0000,-1.5754,-0.0906,-0.2500,0.0000,,,,
200,0.5254,-0.3471,0.5306,-0.2963,0.0036,-0.1470,0.9913,0.9913,ALLOW,allow,grasp_slot_A_1,0,0,,0.0000,0.0000,0,0,0.1483,0,0,0,0,0.0000,0.0000,0.0000,none,0,g1_body,baseline_safe,0,,,,,,right_wrist_pitch_link,0.9913,inf,0.1000,0.9672,0.9672,0.9913,0.0650,0.1000,0.0000,0.0000,0.0000,-0.2963,0.0036,-0.1470,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0.0000,0.0000,0.0000,-0.4110,0.1570,-0.2726,0.2233,,,,
400,0.5291,0.1450,0.3000,-0.2846,-0.0326,-0.1111,0.7989,0.7989,ALLOW,allow,open_gripper_to_release_slot_B_1,0,0,,0.0000,0.0000,0,0,0.1483,0,0,0,0,0.0000,0.0000,0.0000,none,0,g1_body,baseline_safe,0,,,,,,right_wrist_pitch_link,0.7989,inf,0.3003,0.7989,0.7989,,0.0650,0.3003,0.0000,0.0000,0.0000,-0.2846,-0.0326,-0.1111,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0.0000,0.0000,0.0000,-0.3841,0.0984,-0.2695,0.3114,,,,
600,0.5246,-0.2779,0.5144,-0.2842,-0.0349,-0.1261,0.9299,0.9299,ALLOW,allow,grasp_slot_A_2,1,0,,0.0000,0.0000,0,0,0.1483,0,0,0,0,0.0000,0.0000,0.0000,none,0,g1_body,baseline_safe,0,,,,,,right_wrist_pitch_link,0.9299,inf,0.1000,0.9059,0.9059,0.9299,0.0650,0.1000,0.0000,0.0000,0.0000,-0.2842,-0.0349,-0.1261,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0.0000,0.0000,0.0000,-0.3860,0.1011,-0.2737,0.3206,,,,
800,0.5290,0.2150,0.3005,-0.2848,0.0414,-0.1244,0.8044,0.8044,ALLOW,allow,open_gripper_to_release_slot_B_2,1,0,,0.0000,0.0000,0,0,0.1483,0,0,0,0,0.0000,0.0000,0.0000,none,0,g1_body,baseline_safe,0,,,,,,right_wrist_pitch_link,0.8044,inf,0.3001,0.8044,0.8044,,0.0650,0.3001,0.0000,0.0000,0.0000,-0.2848,0.0414,-0.1244,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0.0000,0.0000,0.0000,-0.3896,0.1767,-0.2706,0.2992,,,,
1000,0.5237,-0.2090,0.5033,-0.2882,-0.1966,-0.1322,0.9012,0.9012,ALLOW,allow,grasp_slot_A_3,2,0,,0.0000,0.0000,0,0,0.1483,0,0,0,0,0.0000,0.0000,0.0000,none,0,g1_body,baseline_safe,0,,,,,,right_wrist_pitch_link,0.9012,inf,0.1000,0.8769,0.8769,0.9012,0.0650,0.1000,0.0000,0.0000,0.0000,-0.2882,-0.1966,-0.1322,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0.0000,0.0000,0.0000,-0.3985,-0.0472,-0.2639,0.3137,,,,
1200,0.5291,0.2850,0.3004,-0.2858,0.1322,-0.1245,0.8017,0.8017,ALLOW,allow,open_gripper_to_release_slot_B_3,2,0,,0.0000,0.0000,0,0,0.1483,0,0,0,0,0.0000,0.0000,0.0000,none,0,g1_body,baseline_safe,0,,,,,,left_wrist_pitch_link,0.8017,inf,0.3001,0.8017,0.8017,,0.0650,0.3001,0.0000,0.0000,0.0000,-0.2858,0.1322,-0.1245,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0.0000,0.0000,0.0000,-0.3953,-0.0160,-0.2623,0.3228,,,,
1400,0.5231,-0.1376,0.4930,-0.2950,-0.0024,-0.1195,0.9009,0.9009,ALLOW,allow,grasp_slot_A_4,3,0,,0.0000,0.0000,0,0,0.1483,0,0,0,0,0.0000,0.0000,0.0000,none,0,g1_body,baseline_safe,0,,,,,,right_wrist_pitch_link,0.9009,inf,0.1000,0.8771,0.8771,0.9009,0.0650,0.1000,0.0000,0.0000,0.0000,-0.2950,-0.0024,-0.1195,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0.0000,0.0000,0.0000,-0.4021,0.1356,-0.2650,0.3128,,,,
1600,0.5292,0.3550,0.3000,-0.2846,0.3254,-0.1440,0.7975,0.7975,ALLOW,allow,open_gripper_to_release_slot_B_4,3,0,,0.0000,0.0000,0,0,0.1483,0,0,0,0,0.0000,0.0000,0.0000,none,0,g1_body,baseline_safe,0,,,,,,left_wrist_pitch_link,0.7975,inf,0.1000,0.7975,0.7975,,0.0650,0.1000,0.0000,0.0000,0.0000,-0.2846,0.3254,-0.1440,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0.0000,0.0000,0.0000,-0.3875,0.1686,-0.2656,0.2951,,,,
1800,0.6353,-0.3486,0.4801,-0.2848,0.0514,-0.1100,1.0340,1.0340,ALLOW,allow,grasp_slot_A_5,4,0,,0.0000,0.0000,0,0,0.1483,0,0,0,0,0.0000,0.0000,0.0000,none,0,g1_body,baseline_safe,0,,,,,,right_wrist_pitch_link,1.0340,inf,0.1000,1.0119,1.0119,1.0340,0.0650,0.1000,0.0000,0.0000,0.0000,-0.2848,0.0514,-0.1100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0.0000,0.0000,0.0000,-0.3917,0.1789,-0.2632,0.2930,,,,
