step,ee_x,ee_y,ee_z,hand_x,hand_y,hand_z,hand_dist_surface,g1_body_dist,gate,gate_trigger,stage,parts_placed,replan_count,replan_strategy,replan_raise_m,replan_lateral_m,grasp_rewinds,carry_aborted,min_part_z,parts_below_table,deadlock_tier,vhand_retreated,vhand_block_active,sphere_x,sphere_y,sphere_z,protocol_phase,protocol_part,disturbance_source,disturbance_scenario,disturbance_attempt_id,gate_trigger_source,replan_trigger_source,replan_trigger_step,replan_event_id,replan_applied_step,closest_g1_body,dist_min_g1_body,dist_min_proxy,warn_threshold_active,dist_min_for_gating,dist_min_envelope,dist_min_held,safe_dist_hard_stop_active,safe_dist_warn_active,proxy_center_x,proxy_center_y,proxy_center_z,proxy_surface_x,proxy_surface_y,proxy_surface_z,attractor_x,attractor_y,attractor_z,g1_head_x,g1_head_y,g1_head_z,reach_clamped,slow_streak_length,reach_radius_active,proxy_radius_active,head_to_attractor_distance,reach_margin,g1_root_x,g1_root_y,g1_root_z,g1_tilt_rad,g1_spawn_requested_x,g1_spawn_requested_y,g1_spawn_requested_yaw,spawn_pose_error
0,0.6914,0.1742,0.6968,-1.3231,0.0501,-0.1548,2.0606,2.0606,ALLOW,allow,start,0,0,,0.0000,0.0000,0,0,0.1694,0,0,0,0,0.0000,0.0000,0.0000,none,0,g1_body,baseline_safe,0,,,,,,left_wrist_pitch_link,2.0606,inf,0.1000,2.0606,2.0606,,0.0650,0.1000,0.0000,0.0000,0.0000,-1.3231,0.0501,-0.1548,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0.0000,0.0000,0.0000,-1.4774,-0.0980,-0.2500,0.0000,,,,
200,0.5254,-0.3471,0.5197,-0.3107,-0.0956,-0.1423,0.9657,0.9657,ALLOW,allow,grasp_slot_A_1,0,0,,0.0000,0.0000,0,0,0.1483,0,0,0,0,0.0000,0.0000,0.0000,none,0,g1_body,baseline_safe,0,,,,,,right_wrist_pitch_link,0.9657,inf,0.1000,0.9417,0.9417,0.9657,0.0650,0.1000,0.0000,0.0000,0.0000,-0.3107,-0.0956,-0.1423,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0.0000,0.0000,0.0000,-0.4024,0.0656,-0.2768,0.2886,,,,
400,0.5291,0.1450,0.3000,-0.2848,0.1129,-0.1219,0.7874,0.7874,ALLOW,allow,open_gripper_to_release_slot_B_1,0,0,,0.0000,0.0000,0,0,0.1483,0,0,0,0,0.0000,0.0000,0.0000,none,0,g1_body,baseline_safe,0,,,,,,left_wrist_pitch_link,0.7874,inf,0.3004,0.7874,0.7874,,0.0650,0.3004,0.0000,0.0000,0.0000,-0.2848,0.1129,-0.1219,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0.0000,0.0000,0.0000,-0.3892,-0.0367,-0.2561,0.2988,,,,
600,0.5247,-0.2772,0.5090,-0.2847,-0.2301,-0.1243,0.8988,0.8988,ALLOW,allow,grasp_slot_A_2,1,0,,0.0000,0.0000,0,0,0.1483,0,0,0,0,0.0000,0.0000,0.0000,none,0,g1_body,baseline_safe,0,,,,,,right_wrist_pitch_link,0.8988,inf,0.1000,0.8745,0.8745,0.8988,0.0650,0.1000,0.0000,0.0000,0.0000,-0.2847,-0.2301,-0.1243,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0.0000,0.0000,0.0000,-0.3907,-0.0877,-0.2649,0.3148,,,,
800,0.5292,0.2150,0.3000,-0.2874,-0.0133,-0.1107,0.8121,0.8121,ALLOW,allow,open_gripper_to_release_slot_B_2,1,0,,0.0000,0.0000,0,0,0.1483,0,0,0,0,0.0000,0.0000,0.0000,none,0,g1_body,baseline_safe,0,,,,,,left_wrist_pitch_link,0.8121,inf,0.3003,0.8121,0.8121,,0.0650,0.3003,0.0000,0.0000,0.0000,-0.2874,-0.0133,-0.1107,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0.0000,0.0000,0.0000,-0.3910,-0.1502,-0.2609,0.3064,,,,
1000,0.5238,-0.2078,0.4982,-0.2848,-0.0624,-0.0962,0.8841,0.8841,ALLOW,allow,grasp_slot_A_3,2,0,,0.0000,0.0000,0,0,0.1483,0,0,0,0,0.0000,0.0000,0.0000,none,0,g1_body,baseline_safe,0,,,,,,left_wrist_pitch_link,0.8841,inf,0.1000,0.8605,0.8605,0.8841,0.0650,0.1000,0.0000,0.0000,0.0000,-0.2848,-0.0624,-0.0962,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0.0000,0.0000,0.0000,-0.3892,-0.1930,-0.2571,0.3160,,,,
1200,0.5291,0.2850,0.3000,-0.2852,0.1727,-0.1270,0.7963,0.7963,ALLOW,allow,open_gripper_to_release_slot_B_3,2,0,,0.0000,0.0000,0,0,0.1483,0,0,0,0,0.0000,0.0000,0.0000,none,0,g1_body,baseline_safe,0,,,,,,left_wrist_pitch_link,0.7963,inf,0.3004,0.7963,0.7963,,0.0650,0.3004,0.0000,0.0000,0.0000,-0.2852,0.1727,-0.1270,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0.0000,0.0000,0.0000,-0.3882,0.0211,-0.2729,0.3303,,,,
1400,0.5229,-0.1377,0.4821,-0.2856,-0.2283,-0.1243,0.8847,0.8847,ALLOW,allow,grasp_slot_A_4,3,0,,0.0000,0.0000,0,0,0.1483,0,0,0,0,0.0000,0.0000,0.0000,none,0,g1_body,baseline_safe,0,,,,,,right_wrist_pitch_link,0.8847,inf,0.1000,0.8608,0.8608,0.8847,0.0650,0.1000,0.0000,0.0000,0.0000,-0.2856,-0.2283,-0.1243,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0.0000,0.0000,0.0000,-0.3876,-0.0801,-0.2645,0.3068,,,,
1600,0.5292,0.3550,0.3000,-0.2844,0.0231,-0.1247,0.8459,0.8459,ALLOW,allow,open_gripper_to_release_slot_B_4,3,0,,0.0000,0.0000,0,0,0.1483,0,0,0,0,0.0000,0.0000,0.0000,none,0,g1_body,baseline_safe,0,,,,,,left_wrist_pitch_link,0.8459,inf,0.1000,0.8459,0.8459,,0.0650,0.1000,0.0000,0.0000,0.0000,-0.2844,0.0231,-0.1247,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0.0000,0.0000,0.0000,-0.3858,-0.1263,-0.2600,0.3075,,,,
1800,0.6353,-0.3477,0.4750,-0.2848,-0.3246,-0.1187,0.9652,0.9652,ALLOW,allow,grasp_slot_A_5,4,0,,0.0000,0.0000,0,0,0.1483,0,0,0,0,0.0000,0.0000,0.0000,none,0,g1_body,baseline_safe,0,,,,,,right_wrist_pitch_link,0.9652,inf,0.1000,0.9424,0.9424,0.9652,0.0650,0.1000,0.0000,0.0000,0.0000,-0.2848,-0.3246,-0.1187,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0.0000,0.0000,0.0000,-0.3910,-0.1803,-0.2607,0.3037,,,,
2000,0.6396,0.1450,0.3000,-0.2862,0.1817,-0.1174,0.8862,0.8862,ALLOW,allow,open_gripper_to_release_slot_B_5,4,0,,0.0000,0.0000,0,0,0.1483,0,0,0,0,0.0000,0.0000,0.0000,none,0,g1_body,baseline_safe,0,,,,,,left_wrist_pitch_link,0.8862,inf,0.3002,0.8862,0.8862,,0.0650,0.3002,0.0000,0.0000,0.0000,-0.2862,0.1817,-0.1174,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0.0000,0.0000,0.0000,-0.3856,0.0395,-0.2627,0.3309,,,,
