step,ee_x,ee_y,ee_z,hand_x,hand_y,hand_z,hand_dist_surface,g1_body_dist,gate,gate_trigger,stage,parts_placed,replan_count,replan_strategy,replan_raise_m,replan_lateral_m,grasp_rewinds,carry_aborted,min_part_z,parts_below_table,deadlock_tier,vhand_retreated,vhand_block_active,sphere_x,sphere_y,sphere_z,protocol_phase,protocol_part,disturbance_source,disturbance_scenario,disturbance_attempt_id,gate_trigger_source,replan_trigger_source,replan_trigger_step,replan_event_id,replan_applied_step,closest_g1_body,dist_min_g1_body,dist_min_proxy,warn_threshold_active,dist_min_for_gating,dist_min_envelope,dist_min_held,safe_dist_hard_stop_active,safe_dist_warn_active,proxy_center_x,proxy_center_y,proxy_center_z,proxy_surface_x,proxy_surface_y,proxy_surface_z,attractor_x,attractor_y,attractor_z,g1_head_x,g1_head_y,g1_head_z,reach_clamped,slow_streak_length,reach_radius_active,proxy_radius_active,head_to_attractor_distance,reach_margin,g1_root_x,g1_root_y,g1_root_z,g1_tilt_rad,g1_spawn_requested_x,g1_spawn_requested_y,g1_spawn_requested_yaw,spawn_pose_error
0,0.6914,0.1742,0.6968,0.0000,0.0000,2.0000,999.0000,2.0325,ALLOW,allow,start,0,0,,0.0000,0.0000,0,0,0.1694,0,0,0,1,-1.3963,0.0175,0.6968,reset,1,scripted_virtual_hand,static_occupancy_proxy,0,,,,,,left_wrist_pitch_link,2.0325,999.0000,0.2500,1.3015,1.3015,,0.2500,0.2500,-1.3963,0.0175,0.6968,0.0000,0.0000,2.0000,-1.3963,0.0175,0.0000,-1.3963,0.0175,0.2239,0,0,0.5500,0.3000,0.0000,0.5500,-1.4500,0.0000,-0.2500,0.0000,-1.4500,0.0000,0.0000,0.0000
200,0.5254,-0.3469,0.5523,0.1009,-0.3385,0.5523,0.3446,0.9334,ALLOW,allow,lift_slot_A_1,0,0,,0.0000,0.0000,0,0,0.1483,0,0,0,1,0.0210,-0.3370,0.5523,pick,1,scripted_virtual_hand,static_occupancy_proxy,1,,,,,,right_wrist_pitch_link,0.9334,0.3446,0.2500,0.2830,0.2830,0.3446,0.2500,0.2500,0.0210,-0.3370,0.5523,0.1009,-0.3385,0.5523,0.5349,-0.3617,0.0000,-0.4882,-0.1290,0.1847,1,0,0.5500,0.0800,1.0493,-0.4993,-0.3967,-0.2001,-0.2783,0.2728,-1.4500,0.0000,0.0000,0.0000
400,0.5434,0.0911,0.5648,-0.5208,-0.2089,0.3384,1.1286,0.9648,ALLOW,allow,replan_realign_place_mid,0,1,auto,0.2500,0.1443,0,0,0.1483,0,0,1,0,-0.5208,-0.2089,0.5648,transit,1,scripted_virtual_hand,static_occupancy_proxy,1,,,,,,left_wrist_pitch_link,0.9648,1.1286,0.2500,1.0248,1.0248,,0.2500,0.2500,-0.5208,-0.2089,0.5648,-0.5208,-0.2089,0.3384,0.6500,0.0000,0.0000,-0.5208,-0.2089,0.1984,0,0,0.5500,0.4000,1.1892,-0.6392,-0.3895,-0.2439,-0.2597,0.3116,-1.4500,0.0000,0.0000,0.0000
600,0.5304,0.1489,0.2989,-0.5132,-0.2753,0.3402,1.1273,0.8334,ALLOW,allow,descend_to_box_with_slot_B_1,0,1,auto,0.2500,0.1443,0,0,0.1483,0,0,1,0,-0.0724,0.0536,0.2989,place,1,scripted_virtual_hand,static_occupancy_proxy,1,,,,,,left_wrist_pitch_link,0.8334,1.1273,0.3030,0.9861,0.9861,1.1273,0.2500,0.3030,-0.0724,0.0536,0.2989,-0.5132,-0.2753,0.3402,0.5391,0.1483,0.0000,-0.5132,-0.2753,0.2002,1,0,0.5500,0.0800,1.1343,-0.5843,-0.3923,-0.2899,-0.2618,0.3072,-1.4500,0.0000,0.0000,0.0000
800,0.5342,-0.2908,0.2985,0.1412,-0.2852,0.2985,0.3130,0.7652,ALLOW,allow,descend_to_slot_A_2,1,1,auto,0.2500,0.1443,0,0,0.1483,0,0,0,1,0.0612,-0.2841,0.2985,pick,2,scripted_virtual_hand,static_occupancy_proxy,2,,,,,,right_wrist_pitch_link,0.7652,0.3130,0.2500,0.2928,0.2928,,0.2500,0.2500,0.0612,-0.2841,0.2985,0.1412,-0.2852,0.2985,0.5357,-0.2915,0.0000,-0.4810,-0.3764,0.1837,1,0,0.5500,0.0800,1.0202,-0.4702,-0.3523,-0.3563,-0.2762,0.3127,-1.4500,0.0000,0.0000,0.0000
1000,0.5412,0.0654,0.8393,-0.4385,-0.3691,0.3350,1.1845,1.1631,ALLOW,allow,replan_detour_arc,1,2,auto,0.2500,0.1539,0,0,0.1483,0,0,1,0,-0.4385,-0.3691,0.8393,transit,2,scripted_virtual_hand,static_occupancy_proxy,2,,,,,,left_wrist_pitch_link,1.1631,1.1845,0.2500,1.0761,1.0761,,0.2500,0.2500,-0.4385,-0.3691,0.8393,-0.4385,-0.3691,0.3350,0.6500,0.0000,0.0000,-0.4385,-0.3691,0.1950,0,0,0.5500,0.4000,1.1494,-0.5994,-0.3561,-0.3144,-0.2724,0.2595,-1.4500,0.0000,0.0000,0.0000
1200,0.5280,0.2394,0.5343,-0.4503,-0.3653,0.3277,1.1685,0.9843,ALLOW,allow,replan_detour_rejoin,1,2,auto,0.2500,0.1539,0,0,0.1483,0,0,1,0,-0.0120,-0.0331,0.5343,transit,2,scripted_virtual_hand,static_occupancy_proxy,2,,,,,,left_wrist_pitch_link,0.9843,1.1685,0.2500,1.0652,1.0652,,0.2500,0.2500,-0.0120,-0.0331,0.5343,-0.4503,-0.3653,0.3277,0.6500,0.0000,0.0000,-0.4503,-0.3653,0.1877,1,0,0.5500,0.4000,1.1594,-0.6094,-0.3531,-0.2993,-0.2754,0.2855,-1.4500,0.0000,0.0000,0.0000
1400,0.5331,-0.0076,0.5708,0.0000,0.0000,2.0000,999.0000,0.9697,ALLOW,allow,lift_after_releasing_slot_B_2,1,2,auto,0.2500,0.1539,0,0,0.1483,0,0,1,0,-0.3743,-0.3957,0.5708,reset,2,scripted_virtual_hand,static_occupancy_proxy,2,,,,,,right_wrist_pitch_link,0.9697,999.0000,0.3019,1.3354,1.3354,,0.2500,0.3019,-0.3743,-0.3957,0.5708,0.0000,0.0000,2.0000,-0.3749,-0.4474,0.0000,-0.3749,-0.4474,0.2077,0,0,0.5500,0.3000,0.0000,0.5500,-0.3123,-0.4278,-0.2654,0.2078,-1.4500,0.0000,0.0000,0.0000
1600,0.5017,-0.2057,0.6260,-0.4514,-0.3439,0.3390,1.0050,0.9541,ALLOW,allow,lift_slot_A_3,2,3,auto,0.2500,0.1563,0,0,0.1483,0,0,1,0,-0.4514,-0.3439,0.6260,transit,3,scripted_virtual_hand,static_occupancy_proxy,3,,,,,,right_wrist_pitch_link,0.9541,1.0050,0.2500,0.8574,0.8574,1.0050,0.2500,0.2500,-0.4514,-0.3439,0.6260,-0.4514,-0.3439,0.3390,0.6500,0.0000,0.0000,-0.4514,-0.3439,0.1990,0,0,0.5500,0.4000,1.1539,-0.6039,-0.3680,-0.3635,-0.2701,0.2820,-1.4500,0.0000,0.0000,0.0000
1800,0.5306,0.3589,0.5599,-0.4271,-0.4193,0.3280,1.2556,1.0610,ALLOW,allow,replan_realign_place,2,3,auto,0.2500,0.1563,0,0,0.1483,0,0,1,0,0.0270,-0.1090,0.5599,transit,3,scripted_virtual_hand,static_occupancy_proxy,3,,,,,,left_wrist_pitch_link,1.0610,1.2556,0.2500,1.1521,1.1521,,0.2500,0.2500,0.0270,-0.1090,0.5599,-0.4271,-0.4193,0.3280,0.6500,0.0000,0.0000,-0.4271,-0.4193,0.1880,1,0,0.5500,0.4000,1.1559,-0.6059,-0.3442,-0.3331,-0.2747,0.2752,-1.4500,0.0000,0.0000,0.0000
