sim_step,event_type,attempt_id,event_id,trigger_rule,trigger_source,applied_step,protocol_phase,stage_name,dist_m,warn_threshold,dist_min_for_gating,dist_min_envelope,dist_min_held,safe_dist_hard_stop_active,safe_dist_warn_active,slow_streak_length,ee_x,ee_y,ee_z,proxy_center_x,proxy_center_y,proxy_center_z,proxy_surface_x,proxy_surface_y,proxy_surface_z,attractor_x,attractor_y,attractor_z,g1_head_x,g1_head_y,g1_head_z,reach_clamped,reach_radius_active,proxy_radius_active,head_to_attractor_distance,reach_margin
201,trigger,1,,held_critical,scripted_virtual_hand,,transit,lift_slot_A_1,0.0000,0.2500,0.0000,0.0000,0.0430,0.2500,0.2500,,0.5254,-0.3472,0.5575,0.0151,-0.2332,0.5575,0.4054,-0.3204,0.5575,0.6500,0.0000,0.0000,-0.4942,-0.0869,0.1892,1,0.5500,0.4000,1.1475,-0.5975
201,applied,1,1,held_critical,scripted_virtual_hand,201,transit,lift_slot_A_1,0.0000,0.2500,0.0000,0.0000,0.0430,0.2500,0.2500,,0.5254,-0.3472,0.5575,0.0151,-0.2332,0.5575,0.4054,-0.3204,0.5575,0.6500,0.0000,0.0000,-0.4942,-0.0869,0.1892,1,0.5500,0.4000,1.1475,-0.5975
201,retreat,1,1,replan,scripted_virtual_hand,201,transit,lift_slot_A_1,0.0000,0.2500,0.0000,0.0000,0.0430,0.2500,0.2500,,0.5254,-0.3472,0.5575,0.0151,-0.2332,0.5575,0.4054,-0.3204,0.5575,0.6500,0.0000,0.0000,-0.4942,-0.0869,0.1892,1,0.5500,0.4000,1.1475,-0.5975
786,redeploy,1,,protocol,scripted_virtual_hand,,pick,descend_to_slot_A_2,1.5890,0.2500,1.5890,1.5890,,0.2500,0.2500,,0.5357,-0.2915,0.3072,-0.5164,0.1122,0.3126,-0.2848,-0.1108,-0.1152,0.5357,-0.2915,0.0000,-0.5173,0.1119,0.1799,0,0.5500,0.0800,1.1276,-0.5776
887,trigger,2,,held_critical,scripted_virtual_hand,,transit,lift_slot_A_2,0.0308,0.2500,0.0308,0.0308,0.0917,0.2500,0.2500,,0.5249,-0.2770,0.5577,-0.0338,-0.1555,0.5577,0.3571,-0.2405,0.5577,0.6500,0.0000,0.0000,-0.5126,0.0964,0.1976,1,0.5500,0.4000,1.1666,-0.6166
887,applied,2,2,held_critical,scripted_virtual_hand,887,transit,lift_slot_A_2,0.0308,0.2500,0.0308,0.0308,0.0917,0.2500,0.2500,,0.5249,-0.2770,0.5577,-0.0338,-0.1555,0.5577,0.3571,-0.2405,0.5577,0.6500,0.0000,0.0000,-0.5126,0.0964,0.1976,1,0.5500,0.4000,1.1666,-0.6166
887,retreat,2,2,replan,scripted_virtual_hand,887,transit,lift_slot_A_2,0.0308,0.2500,0.0308,0.0308,0.0917,0.2500,0.2500,,0.5249,-0.2770,0.5577,-0.0338,-0.1555,0.5577,0.3571,-0.2405,0.5577,0.6500,0.0000,0.0000,-0.5126,0.0964,0.1976,1,0.5500,0.4000,1.1666,-0.6166
1472,redeploy,2,,protocol,scripted_virtual_hand,,pick,descend_to_slot_A_3,1.5667,0.2500,1.5667,1.5667,,0.2500,0.2500,,0.5366,-0.2211,0.3070,-0.5199,0.4317,0.3124,-0.2846,0.1726,-0.1123,0.5366,-0.2211,0.0000,-0.5208,0.3807,0.1868,0,0.5500,0.0800,1.2166,-0.6666
1581,trigger,5,,held_critical,scripted_virtual_hand,,transit,lift_slot_A_3,0.0368,0.2764,0.0368,0.0368,0.0977,0.2500,0.2764,,0.5231,-0.1766,0.5770,-0.0018,0.0646,0.5770,0.3617,-0.1024,0.5770,0.6500,0.0000,0.0000,-0.4773,0.3409,0.1922,1,0.5500,0.4000,1.1777,-0.6277
1581,applied,5,3,held_critical,scripted_virtual_hand,1581,transit,lift_slot_A_3,0.0368,0.2764,0.0368,0.0368,0.0977,0.2500,0.2764,,0.5231,-0.1766,0.5770,-0.0018,0.0646,0.5770,0.3617,-0.1024,0.5770,0.6500,0.0000,0.0000,-0.4773,0.3409,0.1922,1,0.5500,0.4000,1.1777,-0.6277
