sim_step,event_type,attempt_id,event_id,trigger_rule,trigger_source,applied_step,protocol_phase,stage_name,dist_m,warn_threshold,dist_min_for_gating,dist_min_envelope,dist_min_held,safe_dist_hard_stop_active,safe_dist_warn_active,slow_streak_length,ee_x,ee_y,ee_z,proxy_center_x,proxy_center_y,proxy_center_z,proxy_surface_x,proxy_surface_y,proxy_surface_z,attractor_x,attractor_y,attractor_z,g1_head_x,g1_head_y,g1_head_z,reach_clamped,reach_radius_active,proxy_radius_active,head_to_attractor_distance,reach_margin
201,trigger,1,,held_critical,scripted_virtual_hand,,transit,lift_slot_A_1,0.0000,0.2500,0.0000,0.0000,0.0307,0.2500,0.2500,,0.5254,-0.3473,0.5575,0.0261,-0.2405,0.5575,0.4172,-0.3242,0.5575,0.6500,0.0000,0.0000,-0.4919,-0.1239,0.1867,1,0.5500,0.4000,1.1486,-0.5986
201,applied,1,1,held_critical,scripted_virtual_hand,201,transit,lift_slot_A_1,0.0000,0.2500,0.0000,0.0000,0.0307,0.2500,0.2500,,0.5254,-0.3473,0.5575,0.0261,-0.2405,0.5575,0.4172,-0.3242,0.5575,0.6500,0.0000,0.0000,-0.4919,-0.1239,0.1867,1,0.5500,0.4000,1.1486,-0.5986
201,retreat,1,1,replan,scripted_virtual_hand,201,transit,lift_slot_A_1,0.0000,0.2500,0.0000,0.0000,0.0307,0.2500,0.2500,,0.5254,-0.3473,0.5575,0.0261,-0.2405,0.5575,0.4172,-0.3242,0.5575,0.6500,0.0000,0.0000,-0.4919,-0.1239,0.1867,1,0.5500,0.4000,1.1486,-0.5986
786,redeploy,1,,protocol,scripted_virtual_hand,,pick,descend_to_slot_A_2,1.5890,0.2500,1.5890,1.5890,,0.2500,0.2500,,0.5357,-0.2915,0.3072,-0.3823,-0.4381,0.3126,-0.1305,-0.5114,-0.1371,0.5357,-0.2915,0.0000,-0.3830,-0.4388,0.2092,0,0.5500,0.0800,0.9304,-0.3804
887,trigger,2,,held_critical,scripted_virtual_hand,,transit,lift_slot_A_2,0.0000,0.2500,0.0000,0.0000,0.0000,0.2500,0.2500,,0.5249,-0.2768,0.5578,0.1027,-0.2229,0.5578,0.4995,-0.2735,0.5578,0.6500,0.0000,0.0000,-0.3944,-0.4582,0.1962,1,0.5500,0.4000,1.1405,-0.5905
887,applied,2,2,held_critical,scripted_virtual_hand,887,transit,lift_slot_A_2,0.0000,0.2500,0.0000,0.0000,0.0000,0.2500,0.2500,,0.5249,-0.2768,0.5578,0.1027,-0.2229,0.5578,0.4995,-0.2735,0.5578,0.6500,0.0000,0.0000,-0.3944,-0.4582,0.1962,1,0.5500,0.4000,1.1405,-0.5905
887,retreat,2,2,replan,scripted_virtual_hand,887,transit,lift_slot_A_2,0.0000,0.2500,0.0000,0.0000,0.0000,0.2500,0.2500,,0.5249,-0.2768,0.5578,0.1027,-0.2229,0.5578,0.4995,-0.2735,0.5578,0.6500,0.0000,0.0000,-0.3944,-0.4582,0.1962,1,0.5500,0.4000,1.1405,-0.5905
1472,redeploy,2,,protocol,scripted_virtual_hand,,pick,descend_to_slot_A_3,1.5667,0.2500,1.5667,1.5667,,0.2500,0.2500,,0.5366,-0.2211,0.3070,-0.3271,-0.4466,0.3124,-0.0884,-0.5209,-0.1493,0.5366,-0.2211,0.0000,-0.3278,-0.4983,0.2113,0,0.5500,0.0800,0.9077,-0.3577
1573,trigger,3,,held_critical,scripted_virtual_hand,,transit,lift_slot_A_3,0.0000,0.2500,0.0000,0.0000,0.0000,0.2500,0.2500,,0.5242,-0.2073,0.5578,0.1127,-0.2016,0.5578,0.5127,-0.2071,0.5578,0.6500,0.0000,0.0000,-0.3274,-0.5314,0.1978,1,0.5500,0.4000,1.1125,-0.5625
1573,applied,3,3,held_critical,scripted_virtual_hand,1573,transit,lift_slot_A_3,0.0000,0.2500,0.0000,0.0000,0.0000,0.2500,0.2500,,0.5242,-0.2073,0.5578,0.1127,-0.2016,0.5578,0.5127,-0.2071,0.5578,0.6500,0.0000,0.0000,-0.3274,-0.5314,0.1978,1,0.5500,0.4000,1.1125,-0.5625
