step,ee_x,ee_y,ee_z,hand_x,hand_y,hand_z,hand_dist_surface,g1_body_dist,gate,gate_trigger,stage,parts_placed,replan_count,replan_strategy,replan_raise_m,replan_lateral_m,grasp_rewinds,carry_aborted,min_part_z,parts_below_table,deadlock_tier,vhand_retreated,vhand_block_active,sphere_x,sphere_y,sphere_z,protocol_phase,protocol_part,disturbance_source,disturbance_scenario,disturbance_attempt_id,gate_trigger_source,replan_trigger_source,replan_trigger_step,replan_event_id,replan_applied_step,closest_g1_body,dist_min_g1_body,dist_min_proxy,warn_threshold_active,dist_min_for_gating,dist_min_envelope,dist_min_held,safe_dist_hard_stop_active,safe_dist_warn_active,proxy_center_x,proxy_center_y,proxy_center_z,proxy_surface_x,proxy_surface_y,proxy_surface_z,attractor_x,attractor_y,attractor_z,g1_head_x,g1_head_y,g1_head_z,reach_clamped,slow_streak_length,reach_radius_active,proxy_radius_active,head_to_attractor_distance,reach_margin,g1_root_x,g1_root_y,g1_root_z,g1_tilt_rad,g1_spawn_requested_x,g1_spawn_requested_y,g1_spawn_requested_yaw,spawn_pose_error
0,0.6914,0.1742,0.6968,0.0000,0.0000,2.0000,999.0000,2.0325,ALLOW,allow,start,0,0,,0.0000,0.0000,0,0,0.1694,0,0,0,1,-1.3963,0.0175,0.6968,reset,1,scripted_virtual_hand,static_occupancy_proxy,0,,,,,,left_wrist_pitch_link,2.0325,999.0000,0.2500,1.3015,1.3015,,0.2500,0.2500,-1.3963,0.0175,0.6968,0.0000,0.0000,2.0000,-1.3963,0.0175,0.0000,-1.3963,0.0175,0.2239,0,0,0.5500,0.3000,0.0000,0.5500,-1.4500,0.0000,-0.2500,0.0000,-1.4500,0.0000,0.0000,0.0000
200,0.5254,-0.3473,0.5521,0.0975,-0.3402,0.5521,0.3480,0.9320,ALLOW,allow,lift_slot_A_1,0,0,,0.0000,0.0000,0,0,0.1483,0,0,0,1,0.0175,-0.3389,0.5521,pick,1,scripted_virtual_hand,static_occupancy_proxy,1,,,,,,right_wrist_pitch_link,0.9320,0.3480,0.2500,0.2864,0.2864,0.3480,0.2500,0.2500,0.0175,-0.3389,0.5521,0.0975,-0.3402,0.5521,0.5349,-0.3617,0.0000,-0.4867,-0.1192,0.1875,1,0,0.5500,0.0800,1.0501,-0.5001,-0.3993,-0.1884,-0.2764,0.2777,-1.4500,0.0000,0.0000,0.0000
400,0.5433,0.0914,0.5649,-0.4920,-0.3682,0.3307,1.1566,0.9923,ALLOW,allow,replan_realign_place_mid,0,1,auto,0.2500,0.1435,0,0,0.1483,0,0,1,0,-0.4920,-0.3682,0.5649,transit,1,scripted_virtual_hand,static_occupancy_proxy,1,,,,,,left_wrist_pitch_link,0.9923,1.1566,0.2500,1.0528,1.0528,,0.2500,0.2500,-0.4920,-0.3682,0.5649,-0.4920,-0.3682,0.3307,0.6500,0.0000,0.0000,-0.4920,-0.3682,0.1907,0,0,0.5500,0.4000,1.1999,-0.6499,-0.3583,-0.3660,-0.2680,0.3126,-1.4500,0.0000,0.0000,0.0000
600,0.5302,0.1488,0.2986,-0.4144,-0.4659,0.3271,1.1274,0.8762,ALLOW,allow,descend_to_box_with_slot_B_1,0,1,auto,0.2500,0.1435,0,0,0.1483,0,0,1,0,-0.0249,-0.0775,0.2986,place,1,scripted_virtual_hand,static_occupancy_proxy,1,,,,,,left_wrist_pitch_link,0.8762,1.1274,0.2500,0.9860,0.9860,1.1274,0.2500,0.2500,-0.0249,-0.0775,0.2986,-0.4144,-0.4659,0.3271,0.5393,0.1481,0.0000,-0.4144,-0.4659,0.1871,1,0,0.5500,0.0800,1.1342,-0.5842,-0.3708,-0.3854,-0.2812,0.2969,-1.4500,0.0000,0.0000,0.0000
800,0.5342,-0.2908,0.2985,0.2120,-0.3089,0.2985,0.2426,0.7089,ALLOW,allow,descend_to_slot_A_2,1,1,auto,0.2500,0.1435,0,0,0.1483,0,0,0,1,0.1322,-0.3134,0.2985,pick,2,scripted_virtual_hand,static_occupancy_proxy,2,,,,,,right_wrist_pitch_link,0.7089,0.2426,0.2500,0.2226,0.2226,,0.2500,0.2500,0.1322,-0.3134,0.2985,0.2120,-0.3089,0.2985,0.5357,-0.2915,0.0000,-0.3920,-0.4799,0.2030,1,0,0.5500,0.0800,0.9467,-0.3967,-0.3130,-0.4406,-0.2664,0.2652,-1.4500,0.0000,0.0000,0.0000
1000,0.4939,0.0729,0.8400,-0.3450,-0.5661,0.3286,1.1721,1.1455,ALLOW,allow,replan_detour_arc,1,2,auto,0.2500,0.1563,0,0,0.1483,0,0,1,0,-0.3450,-0.5661,0.8400,transit,2,scripted_virtual_hand,static_occupancy_proxy,2,,,,,,left_wrist_pitch_link,1.1455,1.1721,0.2500,1.0635,1.0635,,0.2500,0.2500,-0.3450,-0.5661,0.8400,-0.3450,-0.5661,0.3286,0.6500,0.0000,0.0000,-0.3450,-0.5661,0.1886,0,0,0.5500,0.4000,1.1448,-0.5948,-0.2806,-0.4555,-0.2719,0.2659,-1.4500,0.0000,0.0000,0.0000
1200,0.5279,0.2399,0.5343,-0.3902,-0.4673,0.3399,1.1751,1.0270,ALLOW,allow,replan_detour_rejoin,1,2,auto,0.2500,0.1563,0,0,0.1483,0,0,1,0,0.0068,-0.0867,0.5343,transit,2,scripted_virtual_hand,static_occupancy_proxy,2,,,,,,left_wrist_pitch_link,1.0270,1.1751,0.2500,1.0720,1.0720,,0.2500,0.2500,0.0068,-0.0867,0.5343,-0.3902,-0.4673,0.3399,0.6500,0.0000,0.0000,-0.3902,-0.4673,0.1999,1,0,0.5500,0.4000,1.1403,-0.5903,-0.3055,-0.4329,-0.2690,0.2556,-1.4500,0.0000,0.0000,0.0000
1400,0.5331,-0.0076,0.5708,0.0000,0.0000,2.0000,999.0000,0.9514,ALLOW,allow,lift_after_releasing_slot_B_2,1,2,auto,0.2500,0.1563,0,0,0.1483,0,0,1,0,-0.3617,-0.4250,0.5708,reset,2,scripted_virtual_hand,static_occupancy_proxy,2,,,,,,right_wrist_pitch_link,0.9514,999.0000,0.3019,1.3354,1.3354,,0.2500,0.3019,-0.3617,-0.4250,0.5708,0.0000,0.0000,2.0000,-0.3624,-0.4766,0.0000,-0.3624,-0.4766,0.2060,0,0,0.5500,0.3000,0.0000,0.5500,-0.2872,-0.4501,-0.2648,0.2426,-1.4500,0.0000,0.0000,0.0000
1600,0.5016,-0.2084,0.6260,-0.3302,-0.4934,0.3470,0.9225,0.8995,ALLOW,allow,lift_slot_A_3,2,3,auto,0.2500,0.1563,0,0,0.1483,0,0,1,0,-0.3302,-0.4934,0.6260,transit,3,scripted_virtual_hand,static_occupancy_proxy,3,,,,,,right_wrist_pitch_link,0.8995,0.9225,0.2500,0.7745,0.7745,0.9225,0.2500,0.2500,-0.3302,-0.4934,0.6260,-0.3302,-0.4934,0.3470,0.6500,0.0000,0.0000,-0.3302,-0.4934,0.2070,0,0,0.5500,0.4000,1.0974,-0.5474,-0.2920,-0.4669,-0.2676,0.2413,-1.4500,0.0000,0.0000,0.0000
1800,0.5310,0.3592,0.5596,-0.3535,-0.5162,0.3310,1.2653,1.1325,ALLOW,allow,replan_realign_place,2,3,auto,0.2500,0.1563,0,0,0.1483,0,0,1,0,0.0742,-0.1704,0.5596,transit,3,scripted_virtual_hand,static_occupancy_proxy,3,,,,,,left_wrist_pitch_link,1.1325,1.2653,0.2500,1.1619,1.1619,,0.2500,0.2500,0.0742,-0.1704,0.5596,-0.3535,-0.5162,0.3310,0.6500,0.0000,0.0000,-0.3535,-0.5162,0.1910,1,0,0.5500,0.4000,1.1285,-0.5785,-0.3008,-0.4761,-0.2813,0.2880,-1.4500,0.0000,0.0000,0.0000
2000,0.5289,0.2885,0.2986,-0.3809,-0.5111,0.3378,1.2118,0.9488,ALLOW,allow,open_gripper_to_release_slot_B_3,2,3,auto,0.2500,0.1563,0,0,0.1483,0,0,1,0,0.0080,-0.1222,0.2986,place,3,scripted_virtual_hand,static_occupancy_proxy,3,,,,,,left_wrist_pitch_link,0.9488,1.2118,0.2500,1.1107,1.1107,,0.2500,0.2500,0.0080,-0.1222,0.2986,-0.3809,-0.5111,0.3378,0.5388,0.2904,0.0000,-0.3809,-0.5111,0.1978,1,0,0.5500,0.0800,1.2199,-0.6699,-0.2911,-0.4634,-0.2688,0.2944,-1.4500,0.0000,0.0000,0.0000
2200,0.5292,-0.1450,0.3002,0.1546,-0.2330,0.3002,0.3048,0.7590,ALLOW,allow,descend_to_slot_A_4,3,3,auto,0.2500,0.1563,0,0,0.1483,0,0,0,1,0.0767,-0.2513,0.3002,pick,4,scripted_virtual_hand,static_occupancy_proxy,4,,,,,,right_wrist_pitch_link,0.7590,0.3048,0.2500,0.2850,0.2850,,0.2500,0.2500,0.0767,-0.2513,0.3002,0.1546,-0.2330,0.3002,0.5374,-0.1504,0.0000,-0.4048,-0.5172,0.1914,1,0,0.5500,0.0800,1.0110,-0.4610,-0.3050,-0.4376,-0.2691,0.3048,-1.4500,0.0000,0.0000,0.0000
